X,Y
0,0.000
1,0.050
2,43.947
3,131.587
4,189.967
5,191.580
6,136.339
7,54.363
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.102
15,7.360
16,103.885
17,182.342
18,199.350
19,147.108
20,63.842
21,0.571
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.360
29,14.203
30,109.343
31,190.579
32,209.836
33,153.033
34,56.003
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,2.077
41,50.785
42,155.519
43,216.998
44,204.272
45,127.387
46,29.873
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,2.164
53,41.685
54,125.290
55,169.980
56,153.649
57,91.157
58,20.432
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,4.473
67,67.362
68,160.471
69,212.589
70,191.735
71,110.855
72,22.197
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,3.042
80,41.221
81,116.656
82,147.777
83,119.852
84,57.075
85,3.287
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,2.040
94,26.198
95,92.317
96,148.548
97,166.987
98,135.018
99,69.500
100,8.076
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,1.665
107,21.047
108,76.730
109,125.592
110,147.173
111,135.318
112,97.312
113,48.500
